0
0
0,754893
1,5083
1,7995
1,6228
1,45838
1,51855
1,69603
1,79806
1,77558
1,84285
1,91346
1,92741
1,89958
1,9535
1,94662
1,98437
1,94478
1,97192
2,07663
1,97875
1,87423
1,88665
1,94231
2,04348
2,09354
2,02661
1,97721
1,97615
2,01886
2,07227
2,01341
1,98411
2,03335
2,00738
1,99307
1,91588
1,86404
1,89446
2,01174
2,04932
1,9883
1,96007
2,04754
2,05487
1,95788
1,93085
1,91282
1,96705
1,99072
1,98388
2,02704
2,05286
2,06637
2,07637
1,98745
1,8882
1,95997
2,01786
2,09006
2,04181
1,96924
1,99176
1,99133
1,99876
1,98977
2,00253
2,01509
1,98704
2,01412
2,03222
1,93616
1,91722
2,02112
2,08966
2,02388
1,9509
1,92796
1,92086
1,99999
2,05726
2,01919
2,03791
2,0419
1,95947
1,92278
2,00792
2,06703
2,03329
2,0076
2,05815
2,13378
2,07925
2,05308
2,08461
2,0814
2,05751
2,05149
1,98853
1,89307
1,9004
1,98102
2,02071
2,02812
2,02817
1,99811
1,89575
1,90309
1,97164
2,02063
2,04849
2,03843
1,97797
1,99592
1,96826
1,94201
1,9991
2,02521
1,99621
1,9467
1,89454
1,93041
2,03878
2,03358
1,95908
1,99449
2,0098
2,04885
2,10068
2,05489
1,95424
1,95871
2,06064
2,12045
2,09931
1,98578
1,92479
1,94876
1,95793
1,98641
2,0735
2,07044
1,98551
1,97332
1,98443
2,00679
2,01055
2,01817
1,98623
2,00911
2,04165
2,08966
2,13957
2,07293
1,97415
1,97437
2,00803
2,06804
1,94397
1,82182
1,91071
1,99187
2,09477
2,07284
1,99451
1,97034
2,00193
1,9517
1,92701
1,97131
2,00247
1,93696
1,9238
1,94832
1,96621
1,93419
2,0052
2,04476
2,00253
2,03898
1,97872
1,85456
1,88739
1,99025
2,03481
2,02659
1,93506
1,94989
1,99257
2,03639
2,04303
1,9412
1,89851
2,01829
2,0943
2,03488
2,03547
2,00917
1,87154
1,93172
2,06555
2,0702
1,98754
1,92544
2,01361
2,06102
2,04071
1,94542
1,91601
1,91406
2,03559
2,08888
2,05677
1,92502
1,92985
1,95292
1,94475
1,88078
1,89785
1,97717
2,02828
2,02723
1,91965
1,83612
1,90377
1,94284
1,99683
2,03644
2,05842
2,00327
1,92862
1,95266
1,96182
2,02185
2,13465
2,03749
1,94791
1,93489
1,95256
2,03801
2,10743
2,08188
2,09705
2,03323
2,02114
2,07077
2,01314
1,88122
1,89509
1,99998
2,05244
1,97876
1,97378
2,05215
2,08786
2,01487
1,96595
1,95797
1,97381
1,9882
1,95871
1,94184
1,98596
2,02222
2,05346
2,02047
1,9393
1,97077
1,97268
1,92213
1,95217
2,02438
2,07511
2,04346
2,01432
2,01087
2,00354
2,0263
1,9501
1,90552
1,89442
1,96954
2,01646
2,0252
2,01683
2,03194
2,01615
2,03102
2,0407
2,0311
1,99207
1,99619
2,00184
2,01488
1,98792
1,9922
1,97327
2,00239
2,09096
2,09331
1,98272
1,87901
1,95866
2,13253
2,17573
2,07965
1,97329
2,02087
2,07608
2,07524
2,04684
2,0654
2,05839
1,94583
1,88926
1,96474
2,03752
2,11156
2,06546
1,96852
2,01948
2,05657
2,0117
1,98925
2,02638
2,03442
2,02203
1,99723
2,01175
2,0176
1,98356
2,01601
2,08483
2,09016
2,07317
2,02404
2,04324
2,05406
1,98459
1,99235
2,03291
2,09861
2,06444
2,01071
1,95752
1,91939
1,93465
2,04582
2,06333
2,04616
1,99241
2,02369
2,03944
1,9996
1,99358
2,05602
2,09711
2,10438
2,09127
2,00811
1,97011
2,02656
2,12105
2,06051
1,99717
1,92414
1,9777
2,04357
2,04334
2,05098
2,06197
2,04064
1,98211
1,97957
1,94133
1,97511
2,01782
2,02378
2,04595
1,96491
1,90319
1,9624
1,95167
2,03279
2,06145
2,04926
2,05844
2,13425
2,13546
2,02366
1,8946
1,92854
2,03244
2,02375
2,04237
2,05747
1,98014
1,96033
2,02988
2,04758
2,02942
1,93321
1,90125
1,89308
1,96927
2,00403
1,99937
1,94642
1,98284
2,03996
2,08533
2,01033
1,96767
1,93086
1,95164
2,07782
2,042
2,03031
2,05981
2,02643
1,97712
2,0344
2,05462
1,99514
1,92065
1,82047
1,84162
1,94105
1,98747
2,06457
2,04155
1,96347
2,00252
2,05946
1,99698
1,99899
2,02867
2,01983
2,02742
1,96123
1,91903
1,93187
1,94484
2,02651
2,06497
2,11428
2,06082
2,03659
2,03533
2,04657
2,00542
1,99307
2,03998
2,04498
1,95933
1,98467
2,03006
2,00551
1,98133
1,98724
1,96325
1,94037
1,98456
2,06914
2,06932
1,98921
1,99014
2,04169
2,03467
2,05297
2,03578
2,06212
2,0733
2,07229
2,01901
2,00744
1,99515
1,93034
1,97617
2,0117
1,92069
1,86901
1,94426
2,05655
2,07915
2,08411
2,03472
1,93112
1,93034
1,97964
2,06562
2,0584
2,03197
2,03174
1,98513
1,9328
1,91844
1,93767
1,92878
